compound_id,Compound,CAS.No,SMILES_as_reported,SMILES_parent,structure_source,structure_note,structure_status,structure_type
100-02-7,p-nitrophenol; 4-nitrophenol,100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,,PubChem,,,
100-39-0,benzyl bromide,100-39-0,C1=CC=C(C=C1)CBr,,PubChem,,,
100-51-6,benzyl alcohol,100-51-6,C1=CC=C(C=C1)CO,,PubChem,,,
1002-62-6,sodium caprate; decanoic acid soap (c10:0),1002-62-6,CCCCCCCCCC(=O)[O-].[Na+],,PubChem,,,
103-11-7,2-ethylhexyl acrylate,103-11-7,CCCCC(CC)COC(=O)C=C,,PubChem,,,
104-54-1,cinnamyl alcohol,104-54-1,C1=CC=C(C=C1)/C=C/CO,,PubChem,,,
104-85-8,p-tolunitrile,104-85-8,CC1=CC=C(C=C1)C#N,,PubChem,,,
10521-91-2,5-phenylpentanol,10521-91-2,C1=CC=C(C=C1)CCCCCO,,PubChem,,,
106-24-1,geraniol,106-24-1,CC(=CCC/C(=C/CO)/C)C,,PubChem,,,
106-41-3,p-bromophenol,106-41-3,C1=CC(=CC=C1O)Br,,PubChem,,,
106-44-5,p-cresol,106-44-5,CC1=CC=C(C=C1)O,,PubChem,,,
106-48-9,p-chlorophenol,106-48-9,C1=CC(=CC=C1O)Cl,,PubChem,,,
106-50-3,p-phenylenediamine,106-50-3,C1=CC(=CC=C1N)N,,PubChem,,,
108-39-4,m-cresol,108-39-4,CC1=CC(=CC=C1)O,,PubChem,,,
108-46-3,resorcinol,108-46-3,C1=CC(=CC(=C1)O)O,,PubChem,,,
108-46-3,"resorcinol; 1,3-benzenediol",108-46-3,C1=CC(=CC(=C1)O)O,,PubChem,,,
108-73-6,phloroglucinol,108-73-6,C1=C(C=C(C=C1O)O)O,,PubChem,,,
108-88-3,toluene,108-88-3,CC1=CC=CC=C1,,PubChem,,,
108-95-2,phenol,108-95-2,C1=CC=C(C=C1)O,,PubChem,,,
110-80-5,2-ethoxy ethanol,110-80-5,CCOCCO,,Sigma-Aldrich,,,
111-27-3,hexanol,111-27-3,CCCCCCO,,PubChem,,,
111-27-3,n-hexanol,111-27-3,CCCCCCO,,PubChem,,,
111-76-2,butoxyethanol,111-76-2,CCCCOCCO,,PubChem,,,
111-87-5,n-octanol,111-87-5,CCCCCCCCO,,PubChem,,,
111-87-5,octanol,111-87-5,CCCCCCCCO,,PubChem,,,
112-30-1,decanol,112-30-1,CCCCCCCCCCO,,PubChem,,,
112-30-1,n-decanol,112-30-1,CCCCCCCCCCO,,PubChem,,,
112-34-5,diethylene glycol monobutyl ether,112-34-5,CCCCOCCOCCO,,PubChem,,,
112-80-1,oleic acid,112-80-1,CCCCCCCC/C=C\CCCCCCCC(=O)O,,PubChem,,,
117-81-7,bis(2-ethylhexyl)phthalate,117-81-7,[2H]C1=C(C(=C(C(=C1[2H])C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)[2H])[2H],,PubChem,,,
119-34-6,4-amino-2-nitrophenol,119-34-6,C1=CC(=C(C=C1N)[N+](=O)[O-])O,,PubChem,,,
119-36-8,methyl salicylate,119-36-8,COC(=O)C1=CC=CC=C1O,,PubChem,,,
119-61-9,benzophenone,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,PubChem,,,
120-80-9,catechol,120-80-9,C1=CC=C(C(=C1)O)O,,PubChem,,,
120-83-2,"2,4-dichlorophenol",120-83-2,C1=CC(=C(C=C1Cl)Cl)O,,PubChem,,,
1219-38-1,octylparaben,1219-38-1,CCCCCCCCOC(=O)c1ccc(cc1)O,,GSRS,,,
122-57-6,benzylideneacetone,122-57-6,CC(=O)/C=C/C1=CC=CC=C1,,PubChem,,,
123-07-9,p-ethylphenol,123-07-9,CCC1=CC=C(C=C1)O,,PubChem,,,
123-31-9,hydroquinone,123-31-9,C1=CC(=CC=C1O)O,,PubChem,,,
124-94-7,triamcinolone,124-94-7,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,,PubChem,,,
131-11-3,dimethyl phthalate,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,,PubChem,,,
135-19-3,beta-naphthol; 2-naphthol,135-19-3,C1=CC=C2C=C(C=CC2=C1)O,,PubChem,,,
13523-86-9,pindolol,13523-86-9,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,,PubChem,,,
13655-52-2,alprenolol,13655-52-2,CC(C)NCC(COC1=CC=CC=C1CC=C)O,,PubChem,,,
137-58-6,lidocaine,137-58-6,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,,PubChem,,,
141-05-9,diethyl maleate,141-05-9,CCOC(=O)/C=C\C(=O)OCC,,PubChem,,,
14199-15-6,methyl 4-hydroxyphenylacetate,14199-15-6,COC(=O)CC1=CC=C(C=C1)O,,PubChem,,,
143-08-8,n-nonanol,143-08-8,CCCCCCCCCO,,PubChem,,,
143-08-8,nonanol,143-08-8,CCCCCCCCCO,,PubChem,,,
14371-10-9,trans-cinnamaldehyde,14371-10-9,C1=CC=C(C=C1)/C=C/C=O,,PubChem,,,
145-13-1,hydroxypregnenolone,145-13-1,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,PubChem,,,
145-13-1,pregnenolone,145-13-1,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,PubChem,,,
146-72-5,methylglucose,146-72-5,CO[C@H]([C@H](C=O)O)[C@@H]([C@@H](CO)O)O,,PubChem,,,
1638-22-8,p-n-butylphenol; 4-butylphenol,1638-22-8,CCCCC1=CC=C(C=C1)O,,PubChem,,,
16590-41-3,naltrexone,16590-41-3,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,,PubChem,,,
17194-82-0,alfa-(4-hydroxyphenyl) acetamide,17194-82-0,C1=CC(=CC=C1CC(=O)N)O,,PubChem,,,
18979-50-5,4-propoxyphenol,18979-50-5,CCCOC1=CC=C(C=C1)O,,PubChem,,,
2152-44-5,betamethasone-17-valerate,2152-44-5,CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,,PubChem,,,
2203-97-6,hydrocortisone-21-hemisuccinate,2203-97-6,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O.[Na],,PubChem,,,
2493-02-9,4-bromophenyl isocyanate,2493-02-9,C1=CC(=CC=C1N=C=O)Br,,PubChemLite,,,
26839-75-8,timolol,26839-75-8,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,,PubChem,,,
2871-01-4,hc red no. 3; 2-(4-amino-2-nitroanilino)-ethanol,2871-01-4,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,,PubChem,,,
29122-68-7,atenolol,29122-68-7,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,,PubChem,,,
31005-02-4,7-ethoxycoumarin,31005-02-4,CCOC1=CC2=C(C=C1)C=CC(=O)O2,,PubChem,,,
333-41-5,diazinon,333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,,PubChem,,,
3360-41-6,4-phenylbutanol,3360-41-6,OCCCCc1ccccc1,,ChemicalBook,,,
3593-96-2,hydrocortisone-21-hexanoate; hydrocortisone caproate,3593-96-2,CCCCCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,,PubChem,,,
3930-20-9,sotalol,3930-20-9,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,,PubChem,,,
42200-33-9,nadolol,42200-33-9,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,,PubChem,,,
437-38-7,fentanyl base,437-38-7,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,,PubChem,,,
463-40-1,linolenic acid,463-40-1,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,,PubChem,,,
499-75-2,iso-thymol; carvacrol,499-75-2,CC1=C(C=C(C=C1)C(C)C)O,,PubChem,,,
50-2-2,dexamethasone,50-2-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,,PubChem,,,
50-22-6,corticosterone,50-22-6,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,,PubChem,,,
50-23-7,hydrocortisone,50-23-7,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,,PubChem,,,
50-24-8,prednisolone,50-24-8,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,,PubChem,,,
50-27-1,estriol,50-27-1,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,,PubChem,,,
