"logKowb","Mptc","LogSaqd","LogSoce","Mpt_C","GSE_logS"
1.91,387,-4,-2.09,113.85,-2.2985
2.92,270,-5.58621723790635,-2.66621723790635,-3.14999999999998,-2.1385
2.92,270,-5.58621723790635,-2.66621723790635,-3.14999999999998,-2.1385
1.04,258,-3.39794000867204,-2.35794000867204,-15.15,-0.1385
3.75,513,-2.873010949534,0.876989050465997,239.85,-5.3985
3.67,183,-6.18531356201768,-2.51531356201768,-90.15,-2.0185
3.67,183,-6.18531356201768,-2.51531356201768,-90.15,-2.0185
1.791,304.5,-4.80317612328812,-3.01217612328812,31.35,-1.3545
1.791,304.5,-4.80317612328812,-3.01217612328812,31.35,-1.3545
1.87,301,-5.00029898618857,-3.13029898618856,27.85,-1.3985
1.87,301,-5.00029898618857,-3.13029898618856,27.85,-1.3985
2.89,310.95,-5.34440814557864,-2.45440814557864,37.8,-2.518
3.56,258,-6.12955948121007,-2.56955948121006,-15.15,-2.6585
3.56,258,-6.12955948121007,-2.56955948121006,-15.15,-2.6585
2.49,337,-4.06048074738138,-1.57048074738138,63.85,-2.3785
1.95,309,-3.60205999132796,-1.65205999132796,35.85,-1.5585
1.94,309,-3.72124639904717,-1.78124639904717,35.85,-1.5485
2.43,317,-3.72124639904717,-1.29124639904717,43.85,-2.1185
-0.25,419,-3.34678748622466,-3.59678748622466,145.85,-0.4585
1.96,285,-3.63827216398241,-1.67827216398241,11.85,-1.3285
0.8,384,-2.09899122893036,-1.29899122893036,110.85,-1.1585
0.8,384,-2.09899122893036,-1.29899122893036,110.85,-1.1585
0.8,384,-2.03903666520746,-1.23903666520746,110.85,-1.1585
0.76,384,-2.18708664335714,-1.42708664335714,110.85,-1.1185
0.16,491.5,-3.86419721748007,-3.70419721748007,218.35,-1.5935
2.68,178,-5.24412514432751,-2.56412514432751,-95.15,-0.9785
1.46,314,-2.92081875395238,-1.46081875395238,40.85,-1.1185
1.48,314,-3.08092190762393,-1.60092190762393,40.85,-1.1385
1.48,314,-2.92081875395238,-1.44081875395238,40.85,-1.1385
1.48,314,-3.08618614761628,-1.60618614761628,40.85,-1.1385
-0.27,183,-1.99139982823808,-2.27,-90.15,1.9215
1.989,228.4,-4.23859888415655,-2.24959888415655,-44.75,-0.7915
1.94,228,-4.23657200643706,-2.29657200643706,-45.15,-0.7385
1.989,228.4,-4.11856056677183,-2.12956056677183,-44.75,-0.7915
0.83,198.2,-2.11861534322943,-1.28918640771921,-74.95,0.6695
3,258,-5.38721614328026,-2.38721614328026,-15.15,-2.0985
3.15014216184856,258,-5.38721614328026,-2.23707398143171,-15.15,-2.24864216184856
3.15014216184856,258,-5.38721614328026,-2.23707398143171,-15.15,-2.24864216184856
3,258,-5.38721614328026,-2.38721614328026,-15.15,-2.0985
3,258,-5.38721614328026,-2.38721614328026,-15.15,-2.0985
3.9,279,-6.63827216398241,-2.73827216398241,5.85000000000002,-3.2085
3.9,279,-6.631224317527,-2.731224317527,5.85000000000002,-3.2085
4.23999979288687,279,-6.63827216398241,-2.39827237109553,5.85000000000002,-3.54849979288687
4.23999979288687,279,-6.63827216398241,-2.39827237109553,5.85000000000002,-3.54849979288687
4.06,279,-6.63827216398241,-2.57827216398241,5.85000000000002,-3.3685
4.06,279,-6.63827216398241,-2.57827216398241,5.85000000000002,-3.3685
0.6,162.9,-2.17978021512573,-1.57978021512573,-110.25,1.2525
0.6,162.9,-2.17978021512573,-1.57978021512573,-110.25,1.2525
7.73,286.5,-10.0362079938309,-2.30620799383095,13.35,-7.1135
5.03,223,-8.90058282882991,-3.87058282882991,-50.15,-3.7785
0.96,399,-4.05194032951218,-3.09194032951218,125.85,-1.4685
2.23,265,-5.0145262531966,-2.7845262531966,-8.14999999999998,-1.3985
3.18,323,-6.05042490084487,-2.87042490084487,49.85,-2.9285
3.18,323,-6.05042490084487,-2.87042490084487,49.85,-2.9285
0.88,378,-2.23315600395064,-1.35315600395064,104.85,-1.1785
3.1,315.5,-4.55897509062861,-1.45897509062861,42.35,-2.7735
3.06,318,-4.50863830616573,-1.44863830616573,44.85,-2.7585
5.29,325.5,-6.98214995613418,-1.69214995613418,52.35,-5.0635
2.149,313,-4.94823855113315,-2.79923855113315,39.85,-1.7975
2.149,313,-4.94823855113315,-2.79923855113315,39.85,-1.7975
2.47,318,-4.38721614328026,-1.91721614328026,44.85,-2.1685
0.62,446.5,-4.09932265646946,-3.47932265646946,173.35,-1.6035
0.62,446.5,-4.09932265646946,-3.47932265646946,173.35,-1.6035
0.62,446.5,-4.09932265646946,-3.47932265646946,173.35,-1.6035
0.59,445.3,-3.01371366629287,-2.42371366629287,172.15,-1.5615
1.03,543,-6.69897000433602,-5.66897000433602,269.85,-2.9785
1.69,278.5,-4.61109012724328,-2.92109012724328,5.35000000000002,-0.9935
1.69,278.5,-4.61109012724328,-2.92109012724328,5.35000000000002,-0.9935
2.71,396,-5.16115090926274,-2.45115090926274,122.85,-3.1885
2.71,396,-5.08219555275032,-2.37219555275032,122.85,-3.1885
-0.33,442,-6.64419943971753,-6.97419943971753,168.85,-0.6085
0.65,381,-2.45797297118447,-1.80797297118447,107.85,-0.9785
2.48,342,-4.79004429590852,-2.31004429590852,68.85,-2.4185
2.48000694295715,342,-4.67778070526608,-2.19777376230893,68.85,-2.41850694295715
2.48000694295715,342,-4.67778070526608,-2.19777376230893,68.85,-2.41850694295715
1.072,263,-5.2172781712859,-4.1452781712859,-10.15,-0.2205
1.072,263,-5.2172781712859,-4.1452781712859,-10.15,-0.2205
1.63,330,-4.07404497261054,-2.44404497261054,56.85,-1.4485
3.53,268,-6.01322826573375,-2.48322826573375,-5.14999999999998,-2.7285
3.53,268,-6.01322826573375,-2.48322826573375,-5.14999999999998,-2.7285
2.123,265,-4.90855428929003,-2.78555428929003,-8.14999999999998,-1.2915
2.123,265,-4.90855428929003,-2.78555428929003,-8.14999999999998,-1.2915
3.75,541.5,-4.80792945865819,-1.05792945865819,268.35,-5.6835
4.52,466,-7.82390874094432,-3.30390874094432,192.85,-5.6985
-2.5,431,-1.99765317685669,-4.49765317685669,157.85,1.6715
3.54,295,-5.78076486598633,-2.24076486598633,21.85,-3.0085
1.92,442,-5.53962269260453,-3.61962269260453,168.85,-2.8585
-0.09,450,-3.85387196432176,-3.94387196432176,176.85,-0.9285
2.37,328,-4.64637088214349,-2.27637088214349,54.85,-2.1685
3.98,457,-7.72124639904717,-3.74124639904717,183.85,-5.0685
2.11394335230684,444,-6.71332431530943,-4.59938096300259,170.85,-3.07244335230684
3.48,316,-5.62279496208606,-2.14279496208606,42.85,-3.1585
3.48,316,-5.62279496208606,-2.14279496208606,42.85,-3.1585
1.83,345,-5.96300840876861,-4.13300840876861,71.85,-1.7985
1.83,345,-5.8891928217776,-4.0591928217776,71.85,-1.7985
0.661,401,-6.20370514255196,-5.54270514255196,127.85,-1.1895
0.661,401,-6.20370514255196,-5.54270514255196,127.85,-1.1895
-1.77,428,-4.92380119663706,-6.69380119663706,154.85,0.9715
1.474,363,-4.59298249933903,-3.11898249933903,89.85,-1.6225
1.474,363,-4.59298249933903,-3.11898249933903,89.85,-1.6225
3.77,393,-6.7305907245708,-2.9605907245708,119.85,-4.2185
2.33,300.5,-4.6792833649762,-2.3492833649762,27.35,-1.8535
4.48,388,-8.25200463882299,-3.77200463882299,114.85,-4.8785
0.24,479.75,-5.43284794649751,-5.19284794649751,206.6,-1.556
0.24,479.75,-5.43284794649751,-5.19284794649751,206.6,-1.556
0.24,479.75,-5.43284794649751,-5.19284794649751,206.6,-1.556
-1.06,403,-4.35807389856059,-5.41807389856059,129.85,0.5115
3.93,361,-6.08618614761628,-2.15618614761628,87.85,-4.0585
6.52,261.7,-9.35129432663134,-2.83129432663134,-11.45,-5.6555
3.28,276.5,-5.05387538078285,-1.77387538078285,3.35000000000002,-2.5635
2.06,535,-6.59379982587517,-4.53379982587517,261.85,-3.9285
1.76,454,-6.0700079371398,-4.31000793713981,180.85,-2.8185
1.76,454,-6.0700079371398,-4.31000793713981,180.85,-2.8185
1.9,454,-6.4605219929002,-4.5605219929002,180.85,-2.9585
1.94,454,-6.46048062955126,-4.52048062955126,180.85,-2.9985
1.75,454,-6.09481029720211,-4.34481029720211,180.85,-2.8085
1.76,454,-6.20760831050175,-4.44760831050175,180.85,-2.8185
1.76,454,-6.24412514432751,-4.48412514432751,180.85,-2.8185
1.93951925261862,454,-6.4605219929002,-4.52100274028158,180.85,-2.99801925261862
1.76,454,-6.20760831050175,-4.44760831050175,180.85,-2.8185
1.76,454,-6.04095860767891,-4.28095860767891,180.85,-2.8185
1.76,454,-6.22914798835786,-4.46914798835786,180.85,-2.8185
1.76,454,-6.24412514432751,-4.48412514432751,180.85,-2.8185
1.94,454,-6.4605219929002,-4.5205219929002,180.85,-2.9985
1.43,493,-5.94341583208572,-4.51341583208572,219.85,-2.8785
1.43,493,-5.94341583208572,-4.51341583208572,219.85,-2.8785
1.76,493,-6.05551732784983,-4.29551732784983,219.85,-3.2085
1.43,493,-5.89557289247554,-4.46557289247554,219.85,-2.8785
1.43,493,-6.03621217265444,-4.60621217265444,219.85,-2.8785
1.43,493,-6.05551732784983,-4.62551732784983,219.85,-2.8785
1.69,514,-6.20760831050175,-4.51760831050175,240.85,-3.3485
2.94,555,-7.03151705144607,-4.09151705144606,281.85,-5.0085
4.01,449,-7.88605664769316,-3.87605664769316,175.85,-5.0185
4.01,449,-7.74472749489669,-3.73472749489669,175.85,-5.0185
4.01,449,-7.88605664769316,-3.87605664769316,175.85,-5.0185
4.01,449,-7.79588001734407,-3.78588001734407,175.85,-5.0185
4.01,449,-7.79588001734407,-3.78588001734407,175.85,-5.0185
4.01,449,-7.87826640326691,-3.86826640326691,175.85,-5.0185
4.01,449,-7.87826640326691,-3.86826640326691,175.85,-5.0185
4.01,449,-7.88605664769316,-3.87605664769316,175.85,-5.0185
4.01,449,-7.74472749489669,-3.73472749489669,175.85,-5.0185
4.01,449,-7.88605664769316,-3.87605664769316,175.85,-5.0185
4.01,449,-7.88605664769316,-3.87605664769316,175.85,-5.0185
4.01,449,-7.87826640326691,-3.86826640326691,175.85,-5.0185
4.01,449,-7.87826640326691,-3.86826640326691,175.85,-5.0185
4.01,449,-7.87826640326691,-3.86826640326691,175.85,-5.0185
4.01,449,-7.79588001734407,-3.78588001734407,175.85,-5.0185
4.01,449,-7.79588001734407,-3.78588001734407,175.85,-5.0185
-0.78,556,-3.92081875395238,-4.70081875395238,282.85,-1.2985
-0.78,556,-3.88605664769316,-4.66605664769316,282.85,-1.2985
