"x_predictor","modifier_predictor","x_predictor_label","modifier_predictor_label","x","modifier_level","modifier_value","predicted_logkpl"
"MWa","LogSaqd","Molecular weight","Aqueous solubility",18,"10th percentile",-7.31875876262441,-0.389898043290714
"MWa","LogSaqd","Molecular weight","Aqueous solubility",22.0454545454545,"10th percentile",-7.31875876262441,-0.415229133897547
"MWa","LogSaqd","Molecular weight","Aqueous solubility",26.0909090909091,"10th percentile",-7.31875876262441,-0.440560224504388
"MWa","LogSaqd","Molecular weight","Aqueous solubility",30.1363636363636,"10th percentile",-7.31875876262441,-0.465891315111229
"MWa","LogSaqd","Molecular weight","Aqueous solubility",34.1818181818182,"10th percentile",-7.31875876262441,-0.491222405718069
"MWa","LogSaqd","Molecular weight","Aqueous solubility",38.2272727272727,"10th percentile",-7.31875876262441,-0.516553496324903
"MWa","LogSaqd","Molecular weight","Aqueous solubility",42.2727272727273,"10th percentile",-7.31875876262441,-0.541884586931744
"MWa","LogSaqd","Molecular weight","Aqueous solubility",46.3181818181818,"10th percentile",-7.31875876262441,-0.567215677538577
"MWa","LogSaqd","Molecular weight","Aqueous solubility",50.3636363636364,"10th percentile",-7.31875876262441,-0.592546768145418
"MWa","LogSaqd","Molecular weight","Aqueous solubility",54.4090909090909,"10th percentile",-7.31875876262441,-0.617877858752259
"MWa","LogSaqd","Molecular weight","Aqueous solubility",58.4545454545455,"10th percentile",-7.31875876262441,-0.643208949359092
"MWa","LogSaqd","Molecular weight","Aqueous solubility",62.5,"10th percentile",-7.31875876262441,-0.668540039965933
"MWa","LogSaqd","Molecular weight","Aqueous solubility",66.5454545454545,"10th percentile",-7.31875876262441,-0.693871130572767
"MWa","LogSaqd","Molecular weight","Aqueous solubility",70.5909090909091,"10th percentile",-7.31875876262441,-0.719202221179614
"MWa","LogSaqd","Molecular weight","Aqueous solubility",74.6363636363636,"10th percentile",-7.31875876262441,-0.744533311786448
"MWa","LogSaqd","Molecular weight","Aqueous solubility",78.6818181818182,"10th percentile",-7.31875876262441,-0.769864402393289
"MWa","LogSaqd","Molecular weight","Aqueous solubility",82.7272727272727,"10th percentile",-7.31875876262441,-0.795195493000122
"MWa","LogSaqd","Molecular weight","Aqueous solubility",86.7727272727273,"10th percentile",-7.31875876262441,-0.820526583606956
"MWa","LogSaqd","Molecular weight","Aqueous solubility",90.8181818181818,"10th percentile",-7.31875876262441,-0.845857674213804
"MWa","LogSaqd","Molecular weight","Aqueous solubility",94.8636363636364,"10th percentile",-7.31875876262441,-0.871188764820637
"MWa","LogSaqd","Molecular weight","Aqueous solubility",98.9090909090909,"10th percentile",-7.31875876262441,-0.896519855427478
"MWa","LogSaqd","Molecular weight","Aqueous solubility",102.954545454545,"10th percentile",-7.31875876262441,-0.921850946034311
"MWa","LogSaqd","Molecular weight","Aqueous solubility",107,"10th percentile",-7.31875876262441,-0.947182036641152
"MWa","LogSaqd","Molecular weight","Aqueous solubility",111.045454545455,"10th percentile",-7.31875876262441,-0.972513127247993
"MWa","LogSaqd","Molecular weight","Aqueous solubility",115.090909090909,"10th percentile",-7.31875876262441,-0.997844217854833
