"predictor","predictor_label","predictor_unit","x","predicted_logkpl"
"MWa","Molecular weight","Da",18,-1.39416199338427
"MWa","Molecular weight","Da",22.0454545454545,-1.41044978928267
"MWa","Molecular weight","Da",26.0909090909091,-1.42673758518107
"MWa","Molecular weight","Da",30.1363636363636,-1.44302538107947
"MWa","Molecular weight","Da",34.1818181818182,-1.45931317697787
"MWa","Molecular weight","Da",38.2272727272727,-1.47560097287627
"MWa","Molecular weight","Da",42.2727272727273,-1.49188876877466
"MWa","Molecular weight","Da",46.3181818181818,-1.50817656467306
"MWa","Molecular weight","Da",50.3636363636364,-1.52446436057146
"MWa","Molecular weight","Da",54.4090909090909,-1.54075215646986
"MWa","Molecular weight","Da",58.4545454545455,-1.55703995236826
"MWa","Molecular weight","Da",62.5,-1.57332774826665
"MWa","Molecular weight","Da",66.5454545454545,-1.58961554416506
"MWa","Molecular weight","Da",70.5909090909091,-1.60590334006345
"MWa","Molecular weight","Da",74.6363636363636,-1.62219113596185
"MWa","Molecular weight","Da",78.6818181818182,-1.63847893186025
"MWa","Molecular weight","Da",82.7272727272727,-1.65476672775865
"MWa","Molecular weight","Da",86.7727272727273,-1.67105452365704
"MWa","Molecular weight","Da",90.8181818181818,-1.68734231955544
"MWa","Molecular weight","Da",94.8636363636364,-1.70363011545384
"MWa","Molecular weight","Da",98.9090909090909,-1.71991791135223
"MWa","Molecular weight","Da",102.954545454545,-1.73620570725064
"MWa","Molecular weight","Da",107,-1.75249350314903
"MWa","Molecular weight","Da",111.045454545455,-1.76878129904743
"MWa","Molecular weight","Da",115.090909090909,-1.78506909494583
"MWa","Molecular weight","Da",119.136363636364,-1.80135689084423
"MWa","Molecular weight","Da",123.181818181818,-1.81764468674263
"MWa","Molecular weight","Da",127.227272727273,-1.83393248264102
"MWa","Molecular weight","Da",131.272727272727,-1.85022027853942
"MWa","Molecular weight","Da",135.318181818182,-1.86650807443782
"MWa","Molecular weight","Da",139.363636363636,-1.88279587033622
"MWa","Molecular weight","Da",143.409090909091,-1.89908366623462
"MWa","Molecular weight","Da",147.454545454545,-1.91537146213302
"MWa","Molecular weight","Da",151.5,-1.93165925803141
"MWa","Molecular weight","Da",155.545454545455,-1.94794705392982
"MWa","Molecular weight","Da",159.590909090909,-1.96423484982821
"MWa","Molecular weight","Da",163.636363636364,-1.9805226457266
"MWa","Molecular weight","Da",167.681818181818,-1.99681044162501
"MWa","Molecular weight","Da",171.727272727273,-2.0130982375234
"MWa","Molecular weight","Da",175.772727272727,-2.0293860334218
"MWa","Molecular weight","Da",179.818181818182,-2.0456738293202
"MWa","Molecular weight","Da",183.863636363636,-2.0619616252186
"MWa","Molecular weight","Da",187.909090909091,-2.07824942111699
"MWa","Molecular weight","Da",191.954545454545,-2.0945372170154
"MWa","Molecular weight","Da",196,-2.11082501291379
"MWa","Molecular weight","Da",200.045454545455,-2.12711280881219
"MWa","Molecular weight","Da",204.090909090909,-2.14340060471059
"MWa","Molecular weight","Da",208.136363636364,-2.15968840060899
"MWa","Molecular weight","Da",212.181818181818,-2.17597619650738
"MWa","Molecular weight","Da",216.227272727273,-2.19226399240578
"MWa","Molecular weight","Da",220.272727272727,-2.20855178830418
"MWa","Molecular weight","Da",224.318181818182,-2.22483958420258
"MWa","Molecular weight","Da",228.363636363636,-2.24112738010098
"MWa","Molecular weight","Da",232.409090909091,-2.25741517599938
"MWa","Molecular weight","Da",236.454545454545,-2.27370297189778
"MWa","Molecular weight","Da",240.5,-2.28999076779617
"MWa","Molecular weight","Da",244.545454545455,-2.30627856369457
"MWa","Molecular weight","Da",248.590909090909,-2.32256635959297
"MWa","Molecular weight","Da",252.636363636364,-2.33885415549136
"MWa","Molecular weight","Da",256.681818181818,-2.35514195138977
"MWa","Molecular weight","Da",260.727272727273,-2.37142974728816
"MWa","Molecular weight","Da",264.772727272727,-2.38771754318656
"MWa","Molecular weight","Da",268.818181818182,-2.40400533908496
"MWa","Molecular weight","Da",272.863636363636,-2.42029313498336
"MWa","Molecular weight","Da",276.909090909091,-2.43658093088175
"MWa","Molecular weight","Da",280.954545454545,-2.45286872678015
"MWa","Molecular weight","Da",285,-2.46915652267855
"MWa","Molecular weight","Da",289.045454545455,-2.48544431857695
"MWa","Molecular weight","Da",293.090909090909,-2.50173211447535
"MWa","Molecular weight","Da",297.136363636364,-2.51801991037375
