"formula","logLik","RMSE","MAE","R","R2","AIC","n_predictors","intercept","sigma","sigma2","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","model_rank"
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-356.845232710024,0.735451162476816,0.576290570882842,0.766328074742054,0.587258718137862,735.690465420049,9,-9.79513548194382,0.74718158619889,0.558280322754689,-0.00339023178243986,NA,-0.00273808550574552,-0.412145039204706,0.28935619404211,-0.080150974518667,0.0632106997978058,-0.00260339322661714,0.0270203948531898,-0.000884953553696075,1
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Hag + MVh + Texpi",-356.845232843626,0.735451162782915,0.576290376021553,0.766328074517887,0.587258717794292,733.690465687253,8,-9.79523821260015,0.745983219120303,0.55649096320909,-0.00339017415228639,NA,-0.00273807996411803,-0.412144747527449,0.289357316356034,-0.0801501424602697,0.0632105487924844,-0.00260339442205735,0.0270204276572322,NA,2
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + MVh + Texpi + Skin.thicknessj",-358.022203002446,0.738152698339623,0.587212313677559,0.764343443984863,0.584220900362642,736.044406004892,8,-10.6341558065457,0.74872344211966,0.560586792779512,-0.00200432338414893,NA,-0.00282040634316022,-0.375179559999309,0.262555923462003,-0.0661191567359917,NA,-0.00301024882849359,0.0300037091376057,0.0178075702217827,3
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + MVh + Texpi",-358.022256707914,0.738152821837567,0.58721853999556,0.764343352975163,0.584220761237315,734.044513415829,7,-10.6321288287082,0.74752656651296,0.558795967642654,-0.00200541648566909,NA,-0.00282052181823398,-0.375183652533318,0.26253205005453,-0.0661352262010958,NA,-0.00301024433097292,0.0300031924205532,NA,4
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Hag + Texpi + Skin.thicknessj",-358.164032622669,0.738478913444455,0.57804556582884,0.764102954414649,0.583853324945195,736.328065245338,8,-8.92623827926788,0.749054328800302,0.561082387494471,-0.00537212499739417,NA,-0.00246602303416421,-0.4008095796316,0.29626194951379,-0.0636892625425697,0.0742844997162703,NA,0.0237981392627971,-0.0049126795703765,5
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Hag + Texpi",-358.164036706252,0.738478922838971,0.57804687040284,0.764102947486282,0.583853314357224,734.328073412503,7,-8.92680635853043,0.747856808645353,0.559289806237213,-0.00537181012409602,NA,-0.00246599157711752,-0.40080793153287,0.29626819747837,-0.0636846015298757,0.0742836896606087,NA,0.0237983131557732,NA,6
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hag + MVh + Texpi + Skin.thicknessj",-358.583118028899,0.739443673101124,0.580279490628526,0.763390656538592,0.582765294490422,737.166236057797,8,-9.48601400657526,0.750032904334313,0.562549357584165,-0.00401121970925202,NA,-0.00270641954766418,-0.435772799291507,0.331249318168072,NA,0.0468421058595744,-0.00189786228439845,0.0257509532680073,0.119265921062643,7
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hag + MVh + Texpi",-358.585521902319,0.739449210595353,0.580379430887728,0.763386563512009,0.582759045350674,735.171043804638,7,-9.47171627516281,0.748839418009702,0.560760473965109,-0.0040198675698639,NA,-0.00270712308594316,-0.435845268018031,0.331156543840858,NA,0.046839552487598,-0.00189671246285148,0.0257447474497497,NA,8
"logkpl ~ MWa + logKowb + Mptc + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-359.177503977572,0.740814146928612,0.580867060192346,0.762376067415179,0.581217268167433,738.355007955143,8,-9.34576417791647,0.751423004084351,0.56463653106715,-0.0028218559924956,0.36111287310254,-0.00237162136249334,NA,NA,-0.0641747158863259,0.0528190637430141,-0.00191926080792383,0.0259137092264742,0.177787825247774,9
"logkpl ~ MWa + logKowb + Mptc + Hdf + Hag + MVh + Texpi",-359.182830808539,0.740826440462822,0.580890014341788,0.762366951648559,0.581203368965916,736.365661617078,7,-9.32403434166577,0.750234137211026,0.562851260636772,-0.00283214351218073,0.361053302618169,-0.00237188792798592,NA,NA,-0.0643052084339875,0.052825406374328,-0.00191743371102194,0.0259045343521648,NA,10
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + MVh + Texpi + Skin.thicknessj",-359.253911346932,0.740990503306641,0.588286744419047,0.762245272650453,0.581017855677963,736.507822693863,7,-10.1793004704498,0.750400283476006,0.56310058544087,-0.00285103767367252,NA,-0.00277462324981718,-0.403867954012424,0.304752936521462,NA,NA,-0.00230955599897965,0.0282392219767052,0.117447996809568,11
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + MVh + Texpi",-359.256232776294,0.740995862070915,0.588379669575305,0.762241297482435,0.581011795587706,734.512465552589,6,-10.1651834469526,0.749209843857161,0.561315390132472,-0.00285961600319223,NA,-0.00277531240377954,-0.403941030817006,0.304662998550148,NA,NA,-0.00230840160332364,0.0282329771775966,NA,12
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hag + Texpi + Skin.thicknessj",-359.318626730471,0.741139906168915,0.580857159160994,0.762134426041763,0.580848883358007,736.637253460942,7,-8.86426830585901,0.750551583593487,0.563327679634691,-0.00544271115266296,NA,-0.00250141797685037,-0.423276093009108,0.329938205606705,NA,0.0579858892008443,NA,0.0234647594239405,0.0971069004168591,13
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hag + Texpi",-359.320213225952,0.741143569153394,0.580839798713921,0.762131707877013,0.580844740151533,734.640426451905,6,-8.85293244543542,0.749359188281152,0.561539193061388,-0.00544904686074581,NA,-0.00250209200161758,-0.423341269199666,0.329863306616044,NA,0.0579783122989604,NA,0.0234608339234662,NA,14
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Texpi + Skin.thicknessj",-359.819118088576,0.742296365489566,0.59130325178979,0.761275110204864,0.579539793417429,737.638236177152,7,-9.77592928885945,0.751722728700168,0.565087060844426,-0.00407180979260578,NA,-0.0025141160037725,-0.354004893708234,0.265184005240441,-0.0436266349917401,NA,NA,0.0267943366149529,0.0169123749060644,15
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Hdf + Texpi",-359.819165990854,0.742296476261185,0.591301357302862,0.761275027784506,0.579539667928301,735.638331981709,6,-9.77400542584117,0.7505248754306,0.563287588640117,-0.00407284500976827,NA,-0.00251422610848006,-0.354008810554882,0.265161328230057,-0.0436419285541056,NA,NA,0.0267938504274613,NA,16
"logkpl ~ MWa + logKowb + Mptc + Hdf + Hag + Texpi + Skin.thicknessj",-359.91394562582,0.742515681795936,0.581825595159781,0.761111884868798,0.579291301288535,737.827891251639,7,-8.73043860358691,0.751944830087077,0.565421027494683,-0.00440702899528686,0.358230524416884,-0.00220465318541089,NA,NA,-0.0533675488956773,0.0624969352405805,NA,0.0235679751548922,0.154335356469747,17
"logkpl ~ MWa + logKowb + Mptc + Hdf + Hag + Texpi",-359.917941937522,0.742524925853817,0.581745392846763,0.761105003185522,0.579280825874034,735.835883875045,6,-8.71208140890521,0.750755857400117,0.563634357420584,-0.00441465042869976,0.358181187815985,-0.00220502261664766,NA,NA,-0.0534897742272677,0.0624944430797239,NA,0.0235619483237324,NA,18
"logkpl ~ MWa + logKowb + Mptc + Hdf + MVh + Texpi + Skin.thicknessj",-359.99951205396,0.74271363470377,0.588180456653785,0.760964487685133,0.579066951517897,737.99902410792,7,-10.0880241921552,0.752145296783331,0.565722547473285,-0.00168766373152998,0.333375501470505,-0.00246706238445757,NA,NA,-0.0534097091802506,NA,-0.00231188472432908,0.0285185412517303,0.181090709483359,19
"logkpl ~ MWa + logKowb + Mptc + Hdf + MVh + Texpi",-360.005010420638,0.742726356656652,0.588224765923651,0.760955012505674,0.579052531057511,736.010020841275,6,-10.0659814050317,0.750959521074997,0.563940202293189,-0.0016980036659128,0.333311431518671,-0.00246734557643456,NA,NA,-0.0535413095683021,NA,-0.00231007170321482,0.0285095145145027,NA,20
"logkpl ~ MWa + logKowb + Mptc + Hag + MVh + Texpi + Skin.thicknessj",-360.311233560829,0.743435230540687,0.583294235918029,0.760426607315828,0.57824862511386,738.622467121658,7,-9.145929885224,0.752876056109072,0.566822355862351,-0.00340400555034834,0.386872557062671,-0.00239043374602096,NA,NA,NA,0.0405870879526464,-0.00142107532297076,0.0250022817836865,0.255001087737689,21
"logkpl ~ MWa + logKowb + Mptc + Hag + MVh + Texpi",-360.322124300426,0.743460453895368,0.58328918177071,0.760407789394329,0.57822000617157,736.644248600852,6,-9.11415190018417,0.751701755823862,0.565055529708677,-0.00342047332152305,0.386862234079295,-0.00239087133364718,NA,NA,NA,0.0405604871576853,-0.00141699815995978,0.0249864501030833,NA,22
"logkpl ~ MWa + Mptc + LogSaqd + LogSoce + Texpi + Skin.thicknessj",-360.396160913838,0.74363194810843,0.591670526186961,0.760279816601137,0.578025399531058,736.792321827675,6,-9.59314480265567,0.751875151060149,0.565316242781721,-0.00433368843287226,NA,-0.00253239670993581,-0.378093573400128,0.294982274331529,NA,NA,NA,0.0260652784706341,0.0884598466003158,23
