"model","fold","compound_id","CAS.No","convergence","logLik","AIC","npar"
"var_mu",1,"100-02-7","100-02-7",0,-297.892057555816,617.784115111633,11
"var_mu",2,"100-39-0","100-39-0",0,-297.333890275722,616.667780551444,11
"var_mu",3,"100-51-6","100-51-6",0,-297.912727511376,617.825455022753,11
"var_mu",4,"1002-62-6","1002-62-6",0,-297.669164505498,617.338329010995,11
"var_mu",5,"103-11-7","103-11-7",0,-296.162131329719,614.324262659438,11
"var_mu",6,"104-54-1","104-54-1",0,-297.867212338684,617.734424677368,11
"var_mu",7,"104-85-8","104-85-8",0,-297.93305549124,617.866110982479,11
"var_mu",8,"10521-91-2","10521-91-2",0,-297.696411247192,617.392822494384,11
"var_mu",9,"106-24-1","106-24-1",0,-298.030471288785,618.060942577571,11
"var_mu",10,"106-41-3","106-41-3",0,-297.679132684169,617.358265368337,11
"var_mu",11,"106-44-5","106-44-5",0,-296.644872951312,615.289745902624,11
"var_mu",12,"106-48-9","106-48-9",0,-297.886880083292,617.773760166585,11
"var_mu",13,"106-50-3","106-50-3",0,-296.855279449872,615.710558899743,11
"var_mu",14,"108-39-4","108-39-4",0,-298.036624577054,618.073249154108,11
"var_mu",15,"108-46-3","108-46-3",0,-295.090579882147,612.181159764294,11
"var_mu",16,"108-73-6","108-73-6",0,-297.49294491756,616.98588983512,11
"var_mu",17,"108-88-3","108-88-3",0,-294.207034976175,610.41406995235,11
"var_mu",18,"108-95-2","108-95-2",0,-291.173755217649,604.347510435299,11
"var_mu",19,"110-80-5","110-80-5",0,-297.30675670509,616.613513410181,11
"var_mu",20,"111-27-3","111-27-3",0,-297.222796133463,616.445592266925,11
"var_mu",21,"111-76-2","111-76-2",0,-297.666982630865,617.33396526173,11
"var_mu",22,"111-87-5","111-87-5",0,-297.848254763979,617.696509527959,11
"var_mu",23,"112-30-1","112-30-1",0,-293.314746191528,608.629492383057,11
"var_mu",24,"112-34-5","112-34-5",0,-295.82665087041,613.65330174082,11
"var_mu",25,"112-80-1","112-80-1",0,-296.344405702452,614.688811404905,11
"var_mu",26,"117-81-7","117-81-7",0,-296.10900267056,614.21800534112,11
"var_mu",27,"119-34-6","119-34-6",0,-293.087495052548,608.174990105096,11
"var_mu",28,"119-36-8","119-36-8",0,-298.095751370857,618.191502741715,11
"var_mu",29,"119-61-9","119-61-9",0,-297.6299322356,617.2598644712,11
"var_mu",30,"120-80-9","120-80-9",0,-297.777444949266,617.554889898532,11
"var_mu",31,"120-83-2","120-83-2",0,-297.626961208208,617.253922416417,11
"var_mu",32,"1219-38-1","1219-38-1",0,-297.245598851965,616.491197703929,11
"var_mu",33,"122-57-6","122-57-6",0,-297.413104691955,616.826209383909,11
"var_mu",34,"123-07-9 ","123-07-9 ",0,-298.083538385964,618.167076771928,11
"var_mu",35,"123-31-9","123-31-9",0,-286.5913942408,595.1827884816,11
"var_mu",36,"124-94-7","124-94-7",0,-296.938945175273,615.877890350545,11
"var_mu",37,"131-11-3","131-11-3",0,-297.425167571642,616.850335143285,11
"var_mu",38,"135-19-3","135-19-3",0,-297.333711549881,616.667423099762,11
"var_mu",39,"13523-86-9","13523-86-9",0,-297.434105200843,616.868210401686,11
