"model","logLik","AIC","npar","convergence","mean_sigma","median_sigma","cor_abs_error_sigma"
"var_mu_selected_predictors",-286.604308408911,605.208616817822,16,0,0.62276845790305,0.586942797110878,0.370773046531933
"var_mu_Mptc",-290.677448527946,605.354897055892,12,0,0.62448346652259,0.583802450513661,0.372806711295416
"var_selected_predictors",-288.237963400881,606.475926801762,15,0,0.62394922972477,0.603780481084588,0.352865217529327
"var_Mptc",-292.569304033495,607.13860806699,11,0,0.62390488971976,0.632561442509181,0.358474196571916
"var_mu_LogSaqd",-294.406613208914,612.813226417828,12,0,0.628938072948731,0.572681067787612,0.343867794042038
"var_mu_MWa",-295.66979209453,615.33958418906,12,0,0.632615269224921,0.589364271676048,0.325094538888025
"var_mu_Texpi",-296.270696324978,616.541392649956,12,0,0.63702310533376,0.592716595909382,0.292205610756303
"var_mu",-298.242680645047,618.485361290095,11,0,0.636329277631896,0.605975434538093,0.296108887229366
"var_mu_LogSoce",-297.500980179628,619.001960359257,12,0,0.637305500017166,0.601569786102077,0.300011269667811
"var_LogSoce",-303.800356189431,629.600712378862,11,0,0.637682176297304,0.591508027574275,0.246584086612509
"var_MWa",-304.099283937066,630.198567874133,11,0,0.635143746673779,0.591184132158276,0.262278408422329
"var_LogSaqd",-311.909213334983,645.818426669967,11,0,0.641760397640988,0.641869555892723,0.117228237191127
"homoscedastic_lm",-314.17129603497,648.34259206994,10,NA,0.653121053314506,0.653121053314506,NA
"var_Texpi",-313.664567908353,649.329135816707,11,0,0.643487340483802,0.644932191809216,0.0883902249369473
