"model","RMSE","MAE","R2_pred","coverage95","mean_sigma","median_sigma","cor_abs_error_sigma","failed_folds"
"var_LogSaqd",0.679851468962502,0.503328979023668,0.647305805009177,0.922118380062305,0.643941064398033,0.644442808480368,0.00490479708610559,0
"var_Mptc",0.68016589977777,0.511526384816369,0.646979487943053,0.922118380062305,0.624609570391463,0.633932498891557,0.318929612894823,0
"homoscedastic_lm",0.680390898895851,0.506000326682596,0.646745890694135,0.928348909657321,0.653377130900132,0.654168947852369,-0.534125025081274,0
"var_Texpi",0.680888009679323,0.505070880401551,0.646229509365186,0.922118380062305,0.644048044985615,0.64616437089303,-0.0748022318816563,0
"var_MWa",0.682111340376502,0.503901255368003,0.644957150109122,0.91588785046729,0.636818862916532,0.593056960406942,0.200877497739462,0
"var_mu_selected_predictors",0.683197597286247,0.508315465169635,0.643825443853792,0.919003115264797,0.637291846950105,0.594450210098,0.289697243669168,0
"var_mu_Mptc",0.684573490688584,0.512901180296688,0.642389397566192,0.91588785046729,0.630810505355043,0.59942894995865,0.337355917879146,0
"var_selected_predictors",0.685016193781396,0.512191516975476,0.641926725517365,0.909657320872274,0.633754036931356,0.604999499228858,0.269970613847573,0
"var_LogSoce",0.686615190529596,0.513406504624369,0.640253111805706,0.912772585669782,0.64279337625514,0.59340034470516,0.209526943704769,0
"var_mu_LogSaqd",0.688611064198567,0.511670150615576,0.638158625936111,0.919003115264797,0.639985951537053,0.577317700378098,0.327102687700266,0
"var_mu_MWa",0.691426488995095,0.514380725406498,0.635193759956037,0.919003115264797,0.643980936976998,0.591230449242897,0.318539488547272,0
"var_mu_Texpi",0.693452550895568,0.515468681041052,0.633052670645589,0.928348909657321,0.649112404562183,0.594662587760469,0.318995232956151,0
"var_mu",0.694262104028024,0.516058300110104,0.632195404322218,0.922118380062305,0.646993904257961,0.608092423361491,0.328478668812116,0
"var_mu_LogSoce",0.695822945628287,0.517759207751277,0.630539747072225,0.919003115264797,0.651365346501892,0.604765269579756,0.311258246231113,0
