"Compound","CAS.No","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","logkpl","loco_mu","loco_residual","loco_abs_error"
"1,2,4-benzenetriol","533-73-3",126.11,0.8,413.5,-2.34010480931319,-1.54010480931319,3,3,84.7,310,0.1,-3.9,-2.67142383411519,-1.22857616588481,1.22857616588481
"2-(acetylamino)fluorene","53-96-3",223.27,3.12,467,-7.4448196116801,-4.3248196116801,1,1,181.4,305,0.128,-1.10756666442663,-2.52263156713607,1.41506490270944,1.41506490270944
"2-(acetylamino)fluorene","53-96-3",223.27,3.12,467,-7.4448196116801,-4.3248196116801,1,1,181.4,305,0.075,-1.16052197602182,-2.52263156713607,1.36210959111425,1.36210959111425
"2,3-butanediol","513-85-9",90.1,-0.99,298,-1.95860731484178,-2.94860731484178,2,2,91,303,0.1,-4.30102999566398,-3.0845648442014,-1.21646515146258,1.21646515146258
"2,4-dichloroacetophenone","937-20-2",189.04,1.425,374.5,-5.89036750573181,-4.46536750573181,0,1,144.3,305,0.075,-0.743772935647774,-2.19356569824529,1.44979276259752,1.44979276259752
"3-methyl-3h-imidazo[4,5-f]quinolin-2-amine","76180-96-6",198.22,1.743,573,-5.87371358049469,-4.13071358049469,2,4,140.3,305,0.075,-2.07218350508968,-3.40362152188824,1.33143801679856,1.33143801679856
"4-amino-2-nitrophenol","119-34-6",154.1,0.96,399,-4.05194032951218,-3.09194032951218,3,5,94.6,305,0.1,-4.06550154875643,-2.3587603237446,-1.70674122501183,1.70674122501183
"5-fluorouracil","51-21-8",130.1,-0.78,556,-3.88605664769316,-4.66605664769316,2,4,62.8,305,0.1,-4.72894468964132,-3.5372968729947,-1.19164781664662,1.19164781664662
"6-methylcoumarin","92-48-8",160.17,1.414,347.5,-3.56938015318325,-2.15538015318325,0,2,133.4,305,0.075,-1.18136926112576,-2.18573013505591,1.00436087393015,1.00436087393015
"7-ethoxycoumarin","31005-02-4",190.19,1.474,363,-4.59298249933903,-3.11898249933903,0,3,157.6,305,0.075,-0.781780143112531,-2.17922904387525,1.39744890076272,1.39744890076272
"7-ethoxycoumarin","31005-02-4",190.19,1.474,363,-4.59298249933903,-3.11898249933903,0,3,157.6,305,0.128,-0.919153916982604,-2.17922904387525,1.26007512689265,1.26007512689265
"aldosterone","52-39-1",360.4,0.73,437,-6.70694340910248,-5.97694340910248,2,5,252.6,308,0.1,-4.74835790885864,-3.48554378840101,-1.26281412045763,1.26281412045763
"betamethasone-17-valerate","2152-44-5",476.6,3.98,457,-7.72124639904717,-3.74124639904717,2,6,354.2,298,0.01,-2.88041422503822,-4.11849840855214,1.23808418351392,1.23808418351392
