"compound_id","CAS.No","Compound","observed","mu","residual","abs_error","domain_class","n_predictors_outside_broad","n_predictors_outside_central","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"123-31-9","123-31-9","hydroquinone",-5.0301183562535,-2.54768669604695,-2.48243166020655,2.48243166020655,"central",0,0,110.11,446.5,-4.09932265646946,-3.47932265646946,303
"50-28-2","50-28-2","estradiol",-4.69680394257951,-2.37943056900076,-2.31737337357875,2.31737337357875,"broad",0,1,272.4,449,-7.87826640326691,-3.86826640326691,310
"71-91-0","71-91-0","tetraethylammonium",-3.25387553642834,-5.16278578932675,1.90891025289841,1.90891025289841,"outside",1,1,130.3,559,-2.11350927482752,-4.93350927482752,298
"57-50-1","57-50-1","sucrose",-3.13406733180681,-5.02014803617898,1.88608070437217,1.88608070437217,"broad",0,1,342.3,459,-2.03621217265444,-5.88621217265444,310
"58-08-2","58-08-2","caffeine",-1.60220380347052,-3.43288283386372,1.8306790303932,1.8306790303932,"broad",0,1,194.2,511,-3.84241286385707,-3.92241286385707,305
"50-23-7","50-23-7","hydrocortisone",-5.52287874528034,-3.71970074295503,-1.80317800232531,1.80317800232531,"broad",0,2,362.5,493,-6.03621217265444,-4.60621217265444,299
"50-23-7","50-23-7","hydrocortisone",-5.52724355068279,-3.74181603018058,-1.78542752050221,1.78542752050221,"broad",0,2,362.5,493,-6.05551732784983,-4.62551732784983,298
"119-34-6","119-34-6","4-amino-2-nitrophenol",-4.06550154875643,-2.3587603237446,-1.70674122501183,1.70674122501183,"central",0,0,154.1,399,-4.05194032951218,-3.09194032951218,305
"108-95-2","108-95-2","phenol",-3.82792274303052,-2.17884604833463,-1.64907669469589,1.64907669469589,"outside",1,2,94.1,314,-3.08618614761628,-1.60618614761628,295
"71-91-0","71-91-0","tetraethylammonium bromide (+)",-3.36815053784018,-4.99100614388188,1.6228556060417,1.6228556060417,"outside",1,2,130.25,559,-1.85387196432176,-4.67387196432176,310
"112-80-1","112-80-1","oleic acid",-2.88605664769316,-1.30652483827864,-1.57953180941452,1.57953180941452,"outside",1,1,282.45999,286.5,-10.0362079938309,-2.30620799383095,310
