"item","value"
"selected_model_formula","logkpl ~ MWa + log(Mptc) + LogSaqd + LogSoce + log(Texpi) + I(Mptc^2) + I(LogSaqd^2) + MWa:LogSaqd"
"selected_model_predictors","MWa, Mptc, LogSaqd, LogSoce, Texpi"
"final_model_complete_case_observations","321"
"final_model_complete_case_compounds","140"
"initial_observations","479"
"final_cleaned_observations","321"
"final_cleaned_unique_compounds","140"
"selected_model_LOCO_RMSE","0.680390898895851"
"selected_model_LOCO_MAE","0.506000326682596"
"selected_model_LOCO_R2_pred","0.646745890694135"
"random_forest_selected_predictors_RMSE","0.65719764317331"
"rdkit_rf_molecular_only_as_reported_RMSE","0.697717672982015"
"rdkit_rf_with_experimental_as_reported_RMSE","0.658118208430043"
"rowwise_cv_RMSE_mean","0.670884304024156"
"rowwise_cv_RMSE_sd","0.0077891392573475"
"rowwise_cv_proportion_compound_seen_in_training","0.734517133956386"
"central_domain_RMSE","0.577415899608292"
"broad_domain_RMSE","0.709345101932256"
"outside_domain_RMSE","0.891986447410126"
"central_domain_high_error_proportion","0.117241379310345"
"outside_domain_high_error_proportion","0.3"
"ablation_remove_LogSaqd_delta_RMSE","0.22119086398454"
"ablation_remove_LogSoce_delta_RMSE","0.0691799995905868"
"ablation_remove_MWa_delta_RMSE","0.0524436067548781"
"ablation_remove_Mptc_delta_RMSE","0.0463291027706358"
"ablation_remove_interaction_delta_RMSE","0.0114168051474874"
"correlation_LogSaqd_GSE_logS",NA
"R2_LogSaqd_GSE_logS",NA
